ProductID,ProductName,Category,Price,Quantity
cffbe82d-6ebe-4a42-8e27-f9791f59be4d,mother,Electronics,61.94,93
1dbd761c-f258-4144-8a33-986d5fe29d9d,along,Software,131.23,49
92ef037b-8157-4675-99e3-bf3e34acdc3f,rock,Software,481.02,11
d2470ee4-81b3-403a-9474-0417527a2b34,war,Electronics,365.78,56
cd47af3b-f7db-4fcb-9307-904776e304b8,recently,Accessories,434.62,40
f4315242-86c3-4cef-bf5a-7ed0f9029a34,education,Software,177.73,80
f3f94242-5e9e-4fac-a740-2a4278260c69,officer,Software,764.96,44
18eb8910-41db-4e6d-81a6-3ba6cce5e49d,break,Accessories,256.52,18
dc51c6e6-27dc-4024-9734-54dcd68beda4,sure,Accessories,693.71,61
6ac9f58d-1f74-4927-8563-ba78d9e5c945,plant,Electronics,414.98,99
a83dcccf-737c-49c5-a573-b1173e960566,ask,Electronics,573.72,69
fbd8eb91-022b-4d93-b612-1edff1cd21e0,medical,Accessories,741.08,91
c2b71005-a8e5-405e-995a-34f7970ac4f5,Mrs,Accessories,877.58,90
1c5495ea-04e8-4036-b8a4-fd677ff82d28,wish,Software,538.95,81
e31a2e0d-4b01-4ec9-8854-8bb241c9b389,how,Software,474.79,97
274f8b40-7dfd-49a0-b17c-aafad75f06c5,large,Software,423.0,50
a27b13e9-5e3b-4c32-bee3-4f54f8d0dbcf,answer,Electronics,880.36,88
129f852e-cd8d-4241-ac22-30f09c919b2e,dog,Electronics,834.92,33
e7a72816-b366-41c9-8bc1-f136bf7c53a2,young,Electronics,599.61,14
59f2ae44-a615-40d2-914a-10d87e438f9e,never,Accessories,665.07,30
9e7242e8-f548-46a3-9684-597f4158cfcc,lay,Software,272.99,21
4c355e43-1edc-42f0-baad-2f337ab2aac4,and,Accessories,712.74,43
708a5a0f-e2b8-40fb-9f20-6dff19a09021,begin,Software,137.63,89
a57b1279-a8c1-479b-bf12-4ee680a5d01f,often,Software,665.75,74
6cf1b43b-a05f-418d-a603-716914528751,conference,Software,497.35,73
82cbf9c2-683f-4eed-9faa-2ca213cd06cd,prove,Software,74.53,60
f1f66b5e-457e-41a0-9807-9cb4d053cf62,compare,Accessories,721.09,43
2aa78d7b-8315-420a-95c1-d6ff54fb561b,follow,Accessories,687.6,86
6fd4bebd-8e23-4483-9ffe-47e663a149db,life,Electronics,340.94,20
b3df1e8b-ea59-4b80-8339-9bef6abec2b5,blood,Software,980.81,18
3ea04aea-42ca-4e62-b82e-322e8a3dc9f3,simple,Electronics,941.26,20
b1b353b1-1bcb-48c3-b0a1-efeaef5fc177,half,Software,205.64,63
369edb60-cb0f-430e-b758-bae6e8cd4b2c,boy,Software,812.15,88
9cd49b3b-5f15-4e66-8490-69bbf315ead9,make,Accessories,333.11,59
81edc9c7-dce8-48d9-a09e-9fe88687e80c,central,Accessories,623.47,39
feca6af8-4fc0-45f0-9a29-e6f9bf6ca914,that,Software,333.36,23
bba148f4-d7aa-4fd3-9ddf-d7e0aff459eb,bill,Accessories,863.33,32
9ca7d6e6-881f-4aa5-a5bd-4a75d8116198,story,Electronics,145.42,85
e7332902-25a6-4673-a8a9-f3975932d1a7,save,Software,222.55,14
dd22e72d-cdee-448f-a2ea-46efee40f3b4,drop,Accessories,288.0,70
3f9c234e-c342-478d-b37c-c598b0742bf1,billion,Electronics,644.69,70
